מספר יריעה,מספר עמוד,פרשה,מילה ראשונה,מילה אחרונה
1,1,בראשית,בראשית,למינה
1,2,בראשית,ואת,תמות
1,3,בראשית,ויאמר,תשוקתך
2,4,נח,והוא,מתושאל
2,5,נח,ומתושאל,שנה
2,6,נח,ויולד,רחבה
2,7,נח,ושלשים,הארץ
3,8,נח,ותלך,במזבח
3,9,נח,וירח,הקטן
3,10,נח,ויאמר,המבול
3,11,נח,ויהי,לוט
4,12,לך לך,וימת,לו
4,13,לך לך,ויעל,תמר
4,14,לך לך,ויצא,אירשנה
4,15,לך לך,ויאמר,קדש
5,16,וירא,ובין,אברהם
5,17,וירא,וימל,אברהם
5,18,וירא,ויאמר,ובנתיך
5,19,וירא,וכל,הצעירה
6,20,חיי שרה,ותשכב,יצחק
6,21,חיי שרה,וימל,לבדנה
6,22,חיי שרה,ויאמר,נעריו
6,23,חיי שרה,ויקמו,השדה
7,24,תולדות,והמערה,ללין
7,25,תולדות,ותאמר,לי
7,26,תולדות,ואם,אשתו
7,27,תולדות,ויהי,לך
8,28,ויצא,ולזרעך,עמך
8,29,ויצא,ונאמר,נא
8,30,ויצא,ואמשך,אחד
8,31,ויצא,ותאמר,וירא
9,32,ויצא,ואתנה,מלאה
9,33,ויצא,ותקרא,חרפתי
9,34,ויצא,ויעבד,עמדי
9,35,ויצא,והנה,עמדי
10,36,וישלח,וירא,זה
10,37,וישלח,ויאמר,יעקב
10,38,וישלח,ויקרא,הארץ
10,39,וישלח,וקח,חמריהם
11,40,וישב,ואת,אביו
11,41,וישב,וישמע,ואצר
11,42,וישב,ודישן,דבריו
11,43,וישב,ויחלם,שמלתיו
12,44,מקץ,וישם,כלתך
12,45,מקץ,וגם,החוצה
12,46,מקץ,ויהי,מעליך
12,47,מקץ,ותלה,הבריאת
13,48,מקץ,ותבאנה,לאשה
13,49,מקץ,ויצא,איננו
13,50,מקץ,ויאמר,אליך
13,51,מקץ,ויאמר,בידנו
14,52,ויגש,וכסף,החל
14,53,ויגש,ובקטן,אלי
14,54,ויגש,ויגשו,אמות
14,55,ויגש,ויסע,עוד
15,56,ויחי,ויאמר,השנית
15,57,ויחי,ויאמרו,אפרתה
15,58,ויחי,ואקברה,בישראל
15,59,ויחי,יהודה,ישראל
16,60,שמות,וימלאו,מאה
16,61,שמות,ועשר,היאר
16,62,שמות,ונערתיה,הסנה
16,63,שמות,ויאמר,ויאמר
17,64,וארא,והן,במלון
17,65,וארא,ויפגשהו,תתנו
17,66,וארא,ויראו,מחלי
17,67,וארא,ומושי,המימה
18,68,בא,ונצבת,פרעה
18,69,בא,ויצעק,עמי
18,70,בא,ויעבדני,וברד
18,71,בא,ותהלך,בצאננו
19,72,בא,ובבקרנו,העם
19,73,בא,וישאלו,עלכם
19,74,בא,ולא,אתי
19,75,בא,ותחזק,גבלך
20,76,בשלח,והגדת,מצרים
20,77,בשלח,וירדף,פרעה
20,78,שירת הים,הבאים,מרה
20,79,בשלח,וילנו,תקחו
21,80,יתרו,ויעשו,וסקלני
21,81,יתרו,ויאמר,עליהם
21,82,יתרו,ויקח,משה
21,83,יתרו,ויקרא,לאהבי
22,84,משפטים,ולשמרי,חפשי
22,85,משפטים,והגישו,לבעליו
22,86,משפטים,והמת,אלמנות
22,87,משפטים,ובניכם,מפניו
23,88,תרומה,ושמע,האבן
23,89,תרומה,והתורה,טהור
23,90,תרומה,ועשית,לבד
23,91,תרומה,ואת,הקדש
24,92,תצוה,ובין,אהרן
24,93,תצוה,ובניו,החשן
24,94,תצוה,ואת,האילם
24,95,תצוה,ואת,לאהרן
25,96,כי תשא,ומאשר,שמה
25,97,כי תשא,והקטיר,זר
25,98,כי תשא,ונכרת,לו
25,99,כי תשא,ויאמר,לו
26,100,ויקהל,ואמר,רעהו
26,101,ויקהל,ושב,עמך
26,102,ויקהל,שמר,משה
26,103,ויקהל,והשיב,העזים
27,104,ויקהל,והנשאם,האחת
27,105,ויקהל,וחמשים,וארגמן
27,106,ויקהל,ותולעת,ומלקחיה
27,107,ויקהל,ומחתתיה,ארבעה
28,108,פקודי/ויקרא,ואדניהם,משה
28,109,פקודי/ויקרא,ויעש,עשו
28,110,פקודי/ויקרא,ויביאו,אדניו
28,111,פקודי/ויקרא,וישם,הבקר
29,112,ויקרא,ומן,תעשה
29,113,ויקרא,והבאת,הקרב
29,114,ויקרא,ואת,לו
29,115,ויקרא,וכפר,עליה
30,116,צו,והביא,הכהן
30,117,צו,וכפר,תשרף
30,118,צו,וזאת,לעוף
30,119,צו,ולבהמה,החטאת
31,120,שמיני,ויסמך,עליכם
31,121,שמיני,ופתח,העם
31,122,שמיני,ותצא,חטאתם
31,123,שמיני,ואת,הערב
32,124,תזריע/מצורע,והנשא,יום
32,125,תזריע/מצורע,וששת,אדמדמת
32,126,תזריע/מצורע,ונראה,הוא
32,127,תזריע/מצורע,וכי,ואזב
33,128,אחרי מות,וצוה,האשם
33,129,אחרי מות,ואשה,הנגע
33,130,אחרי מות,ולקח,הערב
33,131,אחרי מות,ולקח,על
34,132,קדושים,ואשה,ערתם
34,133,קדושים,שני,דמו
34,134,קדושים,ואת,בה
34,135,קדושים,וכסהו,זרע
35,136,אמור,והוא,אחד
35,137,אמור,והוא,אהרן
35,138,אמור,ועשיתם,ולבנו
35,139,אמור,ולבתו,חקתי
36,140,בהר,וכי,שלמים
36,141,בהר,והניף,ימים
36,142,בהר,וחגתם,למחנה
36,143,בהר,וירגמו,גרים
37,144,בחקתי,ותושבים,גר
37,145,בחקתי,ותושב,אתכם
37,146,בחקתי,ואם,יען
37,147,בחקתי,וביען,עוד
38,148,במדבר,והיה,הם
38,149,במדבר,ויקח,אלף
38,150,במדבר,וארבע,וצבאו
38,151,במדבר,ופקדיו,אבתיו
39,152,נשא,ואלה,אלפים
39,153,נשא,ושש,משה
39,154,נשא,וידבר,לעבד
39,155,נשא,ולמשא,שנה
40,156,נשא,ומעלה,לאשם
40,157,נשא,ואת,ישאו
40,158,נשא,והימים,לחטאת
40,159,נשא,ויקריבו,האלה
41,160,בהעלתך,ולזבח,שלשים
41,161,בהעלתך,ומאה,אלפים
41,162,בהעלתך,וארבע,לאהרן
41,163,בהעלתך,ולבניו,גר
42,164,בהעלתך,ועשה,לצבאתם
42,165,בהעלתך,ועל,בפרור
42,166,בהעלתך,ועשו,למשה
42,167,בהעלתך,ויאמר,פארן
43,168,שלח,וידבר,לה
43,169,שלח,והאנשים,הנה
43,170,שלח,ויאמר,המחנה
43,171,שלח,וירד,שגגתם
44,172,קרח,ונסלח,מחר
44,173,קרח,והיה,שאלה
44,174,קרח,וידעתם,אבתם
44,175,קרח,והנחתם,לך
45,176,חקת,וזה,אתם
45,177,חקת,וביתכם,יתחטא
45,178,חקת,ונכרתה,נעלה
45,179,חקת,ואם,מואב
46,180,בלק,ובין,השדה
46,181,בלק,ובלק,עבור
46,182,בלק,ויעמד,יעקב
46,183,בלק,ולכה,עינים
47,184,פינחס,מה,הכהן
47,185,פינחס,ויקם,אלף
47,186,פינחס,ומאתים,אלף
47,187,פינחס,ושש,יפנה
48,188,מטות,ויהושע,משה
48,189,מטות,וידבר,תעשו
48,190,מטות,והקרבתם,התמיד
48,191,מטות,ומנחתה,נדריה
49,192,מטות,ואסריה,משה
49,193,מטות,ואלעזר,מאות
49,194,מטות,ומכסם,ההוא
49,195,מטות,וישבע,האמרי
50,196,מסעי,ואת,בחשמנה
50,197,מסעי,ויסעו,אדר
50,198,מסעי,ועבר,הערים
50,199,מסעי,ואת,יומת
51,200,דברים,ולא,ברנע
51,201,דברים,ויהי,אשכל
51,202,דברים,וירגלו,צפנה
51,203,דברים,ואת,מפניך
52,204,ואתחנן,ואשלח,איש
52,205,ואתחנן,ואת,אתכם
52,206,ואתחנן,ולא,הירדן
52,207,ואתחנן,ולבלתי,אחריך
53,208,עקב,ולמען,וחמרך
53,209,עקב,וכל,חקתיו
53,210,עקב,ומצותיו,לרשתה
53,211,עקב,ונשל,הנשארים
54,212,ראה,והנסתרים,באחריתך
54,213,ראה,ואמרת,השמים
54,214,ראה,ואעשה,עשיתי
54,215,ראה,ויהיו,לדתן
55,216,ראה,ולאבירם,פחדכם
55,217,ראה,ומוראכם,אתם
55,218,ראה,ובניכם,בניהם
55,219,ראה,ואת,רחמים
56,220,שופטים,ורחמך,בבקר
56,221,שופטים,ובצאן,ובדלת
56,222,שופטים,והיה,והיתום
56,223,שופטים,והאלמנה,ושמאל
57,224,כי תצא,והאיש,מעננים
57,225,כי תצא,ואל,האל
57,226,כי תצא,ושלחו,לך
57,227,כי תצא,ואכלת,שנואה
58,228,כי תצא,וילדו,דברים
58,229,כי תצא,וכתב,ממצרים
58,230,כי תצא,ואשר,האחרון
58,231,כי תצא,והוצא,אנשים
59,232,כי תבוא,וברוך,לנו
59,233,כי תבוא,ונגשו,חלב
59,234,כי תבוא,ולקח,בעיר
59,235,כי תבוא,ודבש,הארץ
60,236,נצבים,וראו,אתך
60,237,נצבים,ואין,בחרב
60,238,נצבים,והצר,רחוקה
60,239,נצבים,ויקרא,לנו
61,240,וילך,וישמענו,האנשים
61,241,וילך,והנשים,האלה
61,242,האזינו א',ואעידה,באפי
62,243,האזינו ב',ותיקד,חייכם
62,244,וזאת הברכה,ובדבר,אפרים
62,245,וזאת הברכה,והם,ישראל
